"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 19 17:30:00 CET 2023","Sun Feb 19 17:30:01 CET 2023","952","","Create booking, update and delete booking","","","","Create booking",""
"passed","Sun Feb 19 17:30:24 CET 2023","Sun Feb 19 17:30:25 CET 2023","252","","Contact Info suite","","","","Validate error messages for all empty fields upon submission.",""
"passed","Sun Feb 19 17:30:17 CET 2023","Sun Feb 19 17:30:17 CET 2023","515","","Book room suite","","","","Validate error messages for all empty fields upon submission.",""
"passed","Sun Feb 19 17:30:08 CET 2023","Sun Feb 19 17:30:08 CET 2023","132","","Negative scenarios","","","","Send a request to the API with an unsupported HTTP method to URL",""
"passed","Sun Feb 19 17:30:07 CET 2023","Sun Feb 19 17:30:07 CET 2023","154","","Negative scenarios","","","","Test the invalid booking by sending invalid booking id in url",""
"passed","Sun Feb 19 17:30:16 CET 2023","Sun Feb 19 17:30:16 CET 2023","198","","Book room suite","","","","Create booking and verify same booking label is unavailable",""
"passed","Sun Feb 19 17:30:10 CET 2023","Sun Feb 19 17:30:10 CET 2023","259","","Partial update the bookings","","","","Partial booking update",""
"passed","Sun Feb 19 17:30:04 CET 2023","Sun Feb 19 17:30:04 CET 2023","557","","API Test suite","","","","Get all the bookings",""
"passed","Sun Feb 19 17:30:16 CET 2023","Sun Feb 19 17:30:17 CET 2023","452","","Book room suite","","","","Book again with same date and day and check room are booked",""
"passed","Sun Feb 19 17:30:14 CET 2023","Sun Feb 19 17:30:16 CET 2023","2355","","Book room suite","","","","Book a room wihtout selecting the date ",""
"passed","Sun Feb 19 17:30:22 CET 2023","Sun Feb 19 17:30:24 CET 2023","2474","","Contact Info suite","","","","Submitting valid contact information and verifying correct feedback message.",""
"passed","Sun Feb 19 17:30:07 CET 2023","Sun Feb 19 17:30:08 CET 2023","121","","Negative scenarios","","","","Attempt to access a protected resource with incorrect authentication credentials",""
